id	label1	label2
negSynth51	0	0
posSynth52	1	1
negSynth52	0	0
posSynth53	1	1
negSynth53	0	0
posSynth54	1	1
negSynth54	0	0
posSynth55	1	1
negSynth55	0	0
posSynth56	1	1
negSynth56	0	0
posSynth57	1	1
negSynth57	0	0
posSynth58	1	1
negSynth58	0	0
posSynth59	1	1
negSynth59	0	0
posSynth60	1	1
negSynth60	0	0
posSynth61	1	1
negSynth61	0	0
posSynth62	1	1
negSynth62	0	0
posSynth63	1	1
negSynth63	0	0
posSynth64	1	1
negSynth64	0	0
posSynth65	1	1
negSynth65	0	0
posSynth66	1	1
negSynth66	0	0
posSynth67	1	1
negSynth67	0	0
posSynth68	1	1
negSynth68	0	0
posSynth69	1	1
negSynth69	0	0
posSynth70	1	1
negSynth70	0	0
posSynth71	1	1
negSynth71	0	0
posSynth72	1	1
negSynth72	0	0
posSynth73	1	1
negSynth73	0	0
posSynth74	1	1
negSynth74	0	0
posSynth75	1	1
negSynth75	0	0
posSynth76	1	1
negSynth76	0	0
posSynth77	1	1
negSynth77	0	0
posSynth78	1	1
negSynth78	0	0
posSynth79	1	1
negSynth79	0	0
posSynth80	1	1
negSynth80	0	0
posSynth81	1	1
negSynth81	0	0
posSynth82	1	1
negSynth82	0	0
posSynth83	1	1
negSynth83	0	0
posSynth84	1	1
negSynth84	0	0
posSynth85	1	1
negSynth85	0	0
posSynth86	1	1
negSynth86	0	0
posSynth87	1	1
negSynth87	0	0
posSynth88	1	1
negSynth88	0	0
posSynth89	1	1
negSynth89	0	0
posSynth90	1	1
negSynth90	0	0
posSynth91	1	1
negSynth91	0	0
posSynth92	1	1
negSynth92	0	0
posSynth93	1	1
negSynth93	0	0
posSynth94	1	1
negSynth94	0	0
posSynth95	1	1
negSynth95	0	0
posSynth96	1	1
negSynth96	0	0
posSynth97	1	1
negSynth97	0	0
posSynth98	1	1
negSynth98	0	0
posSynth99	1	1
negSynth99	0	0
posSynth100	1	1
negSynth100	0	0
posSynth101	1	1
negSynth101	0	0
posSynth102	1	1
negSynth102	0	0
posSynth103	1	1
negSynth103	0	0
posSynth104	1	1
negSynth104	0	0
posSynth105	1	1
negSynth105	0	0
posSynth106	1	1
negSynth106	0	0
posSynth107	1	1
negSynth107	0	0
posSynth108	1	1
negSynth108	0	0
posSynth109	1	1
negSynth109	0	0
posSynth110	1	1
negSynth110	0	0
posSynth111	1	1
negSynth111	0	0
posSynth112	1	1
negSynth112	0	0
posSynth113	1	1
negSynth113	0	0
posSynth114	1	1
negSynth114	0	0
posSynth115	1	1
negSynth115	0	0
posSynth116	1	1
negSynth116	0	0
posSynth117	1	1
negSynth117	0	0
posSynth118	1	1
negSynth118	0	0
posSynth119	1	1
negSynth119	0	0
posSynth120	1	1
negSynth120	0	0
posSynth121	1	1
negSynth121	0	0
posSynth122	1	1
negSynth122	0	0
posSynth123	1	1
negSynth123	0	0
posSynth124	1	1
negSynth124	0	0
posSynth125	1	1
negSynth125	0	0
posSynth126	1	1
negSynth126	0	0
posSynth127	1	1
negSynth127	0	0
posSynth128	1	1
negSynth128	0	0
posSynth129	1	1
negSynth129	0	0
posSynth130	1	1
negSynth130	0	0
posSynth131	1	1
negSynth131	0	0
posSynth132	1	1
negSynth132	0	0
posSynth133	1	1
negSynth133	0	0
posSynth134	1	1
negSynth134	0	0
posSynth135	1	1
negSynth135	0	0
posSynth136	1	1
negSynth136	0	0
posSynth137	1	1
negSynth137	0	0
posSynth138	1	1
negSynth138	0	0
posSynth139	1	1
negSynth139	0	0
posSynth140	1	1
negSynth140	0	0
posSynth141	1	1
negSynth141	0	0
posSynth142	1	1
negSynth142	0	0
posSynth143	1	1
negSynth143	0	0
posSynth144	1	1
negSynth144	0	0
posSynth145	1	1
negSynth145	0	0
posSynth146	1	1
negSynth146	0	0
posSynth147	1	1
negSynth147	0	0
posSynth148	1	1
negSynth148	0	0
posSynth149	1	1
negSynth149	0	0
posSynth150	1	1
negSynth150	0	0
posSynth151	1	1
negSynth151	0	0
posSynth152	1	1
negSynth152	0	0
posSynth153	1	1
negSynth153	0	0
posSynth154	1	1
negSynth154	0	0
posSynth155	1	1
negSynth155	0	0
posSynth156	1	1
negSynth156	0	0
posSynth157	1	1
negSynth157	0	0
posSynth158	1	1
negSynth158	0	0
posSynth159	1	1
negSynth159	0	0
posSynth160	1	1
negSynth160	0	0
posSynth161	1	1
negSynth161	0	0
posSynth162	1	1
negSynth162	0	0
posSynth163	1	1
negSynth163	0	0
posSynth164	1	1
negSynth164	0	0
posSynth165	1	1
negSynth165	0	0
posSynth166	1	1
negSynth166	0	0
posSynth167	1	1
negSynth167	0	0
posSynth168	1	1
negSynth168	0	0
posSynth169	1	1
negSynth169	0	0
posSynth170	1	1
negSynth170	0	0
posSynth171	1	1
negSynth171	0	0
posSynth172	1	1
negSynth172	0	0
posSynth173	1	1
negSynth173	0	0
posSynth174	1	1
negSynth174	0	0
posSynth175	1	1
negSynth175	0	0
posSynth176	1	1
negSynth176	0	0
posSynth177	1	1
negSynth177	0	0
posSynth178	1	1
negSynth178	0	0
posSynth179	1	1
negSynth179	0	0
posSynth180	1	1
negSynth180	0	0
posSynth181	1	1
negSynth181	0	0
posSynth182	1	1
negSynth182	0	0
posSynth183	1	1
negSynth183	0	0
posSynth184	1	1
negSynth184	0	0
posSynth185	1	1
negSynth185	0	0
posSynth186	1	1
negSynth186	0	0
posSynth187	1	1
negSynth187	0	0
posSynth188	1	1
negSynth188	0	0
posSynth189	1	1
negSynth189	0	0
posSynth190	1	1
negSynth190	0	0
posSynth191	1	1
negSynth191	0	0
posSynth192	1	1
negSynth192	0	0
posSynth193	1	1
negSynth193	0	0
posSynth194	1	1
negSynth194	0	0
posSynth195	1	1
negSynth195	0	0
posSynth196	1	1
negSynth196	0	0
posSynth197	1	1
negSynth197	0	0
posSynth198	1	1
negSynth198	0	0
posSynth199	1	1
negSynth199	0	0
posSynth200	1	1
negSynth200	0	0
posSynth201	1	1
negSynth201	0	0
posSynth202	1	1
negSynth202	0	0
posSynth203	1	1
negSynth203	0	0
posSynth204	1	1
negSynth204	0	0
posSynth205	1	1
negSynth205	0	0
posSynth206	1	1
negSynth206	0	0
posSynth207	1	1
negSynth207	0	0
posSynth208	1	1
negSynth208	0	0
posSynth209	1	1
negSynth209	0	0
posSynth210	1	1
negSynth210	0	0
posSynth211	1	1
negSynth211	0	0
posSynth212	1	1
negSynth212	0	0
posSynth213	1	1
negSynth213	0	0
posSynth214	1	1
negSynth214	0	0
posSynth215	1	1
negSynth215	0	0
posSynth216	1	1
negSynth216	0	0
posSynth217	1	1
negSynth217	0	0
posSynth218	1	1
negSynth218	0	0
posSynth219	1	1
negSynth219	0	0
posSynth220	1	1
negSynth220	0	0
posSynth221	1	1
negSynth221	0	0
posSynth222	1	1
negSynth222	0	0
posSynth223	1	1
negSynth223	0	0
posSynth224	1	1
negSynth224	0	0
posSynth225	1	1
negSynth225	0	0
posSynth226	1	1
negSynth226	0	0
posSynth227	1	1
negSynth227	0	0
posSynth228	1	1
negSynth228	0	0
posSynth229	1	1
negSynth229	0	0
posSynth230	1	1
negSynth230	0	0
posSynth231	1	1
negSynth231	0	0
posSynth232	1	1
negSynth232	0	0
posSynth233	1	1
negSynth233	0	0
posSynth234	1	1
negSynth234	0	0
posSynth235	1	1
negSynth235	0	0
posSynth236	1	1
negSynth236	0	0
posSynth237	1	1
negSynth237	0	0
posSynth238	1	1
negSynth238	0	0
posSynth239	1	1
negSynth239	0	0
posSynth240	1	1
negSynth240	0	0
posSynth241	1	1
negSynth241	0	0
posSynth242	1	1
negSynth242	0	0
posSynth243	1	1
negSynth243	0	0
posSynth244	1	1
negSynth244	0	0
posSynth245	1	1
negSynth245	0	0
posSynth246	1	1
negSynth246	0	0
posSynth247	1	1
negSynth247	0	0
posSynth248	1	1
negSynth248	0	0
posSynth249	1	1
negSynth249	0	0
posSynth250	1	1
negSynth250	0	0
posSynth251	1	1
negSynth251	0	0
posSynth252	1	1
negSynth252	0	0
posSynth253	1	1
negSynth253	0	0
posSynth254	1	1
negSynth254	0	0
posSynth255	1	1
negSynth255	0	0
posSynth256	1	1
negSynth256	0	0
posSynth257	1	1
negSynth257	0	0
posSynth258	1	1
negSynth258	0	0
posSynth259	1	1
negSynth259	0	0
posSynth260	1	1
negSynth260	0	0
posSynth261	1	1
negSynth261	0	0
posSynth262	1	1
negSynth262	0	0
posSynth263	1	1
negSynth263	0	0
posSynth264	1	1
negSynth264	0	0
posSynth265	1	1
negSynth265	0	0
posSynth266	1	1
negSynth266	0	0
posSynth267	1	1
negSynth267	0	0
posSynth268	1	1
negSynth268	0	0
posSynth269	1	1
negSynth269	0	0
posSynth270	1	1
negSynth270	0	0
posSynth271	1	1
negSynth271	0	0
posSynth272	1	1
negSynth272	0	0
posSynth273	1	1
negSynth273	0	0
posSynth274	1	1
negSynth274	0	0
posSynth275	1	1
negSynth275	0	0
posSynth276	1	1
negSynth276	0	0
posSynth277	1	1
negSynth277	0	0
posSynth278	1	1
negSynth278	0	0
posSynth279	1	1
negSynth279	0	0
posSynth280	1	1
negSynth280	0	0
posSynth281	1	1
negSynth281	0	0
posSynth282	1	1
negSynth282	0	0
posSynth283	1	1
negSynth283	0	0
posSynth284	1	1
negSynth284	0	0
posSynth285	1	1
negSynth285	0	0
posSynth286	1	1
negSynth286	0	0
posSynth287	1	1
negSynth287	0	0
posSynth288	1	1
negSynth288	0	0
posSynth289	1	1
negSynth289	0	0
posSynth290	1	1
negSynth290	0	0
posSynth291	1	1
negSynth291	0	0
posSynth292	1	1
negSynth292	0	0
posSynth293	1	1
negSynth293	0	0
posSynth294	1	1
negSynth294	0	0
posSynth295	1	1
negSynth295	0	0
posSynth296	1	1
negSynth296	0	0
posSynth297	1	1
negSynth297	0	0
posSynth298	1	1
negSynth298	0	0
posSynth299	1	1
negSynth299	0	0
posSynth300	1	1
negSynth300	0	0
posSynth301	1	1
negSynth301	0	0
posSynth302	1	1
negSynth302	0	0
posSynth303	1	1
negSynth303	0	0
posSynth304	1	1
negSynth304	0	0
posSynth305	1	1
negSynth305	0	0
posSynth306	1	1
negSynth306	0	0
posSynth307	1	1
negSynth307	0	0
posSynth308	1	1
negSynth308	0	0
posSynth309	1	1
negSynth309	0	0
posSynth310	1	1
negSynth310	0	0
posSynth311	1	1
negSynth311	0	0
posSynth312	1	1
negSynth312	0	0
posSynth313	1	1
negSynth313	0	0
posSynth314	1	1
negSynth314	0	0
posSynth315	1	1
negSynth315	0	0
posSynth316	1	1
negSynth316	0	0
posSynth317	1	1
negSynth317	0	0
posSynth318	1	1
negSynth318	0	0
posSynth319	1	1
negSynth319	0	0
posSynth320	1	1
negSynth320	0	0
posSynth321	1	1
negSynth321	0	0
posSynth322	1	1
negSynth322	0	0
posSynth323	1	1
negSynth323	0	0
posSynth324	1	1
negSynth324	0	0
posSynth325	1	1
negSynth325	0	0
posSynth326	1	1
negSynth326	0	0
posSynth327	1	1
negSynth327	0	0
posSynth328	1	1
negSynth328	0	0
posSynth329	1	1
negSynth329	0	0
posSynth330	1	1
negSynth330	0	0
posSynth331	1	1
negSynth331	0	0
posSynth332	1	1
negSynth332	0	0
posSynth333	1	1
negSynth333	0	0
posSynth334	1	1
negSynth334	0	0
posSynth335	1	1
negSynth335	0	0
posSynth336	1	1
negSynth336	0	0
posSynth337	1	1
negSynth337	0	0
posSynth338	1	1
negSynth338	0	0
posSynth339	1	1
negSynth339	0	0
posSynth340	1	1
negSynth340	0	0
posSynth341	1	1
negSynth341	0	0
posSynth342	1	1
negSynth342	0	0
posSynth343	1	1
negSynth343	0	0
posSynth344	1	1
negSynth344	0	0
posSynth345	1	1
negSynth345	0	0
posSynth346	1	1
negSynth346	0	0
posSynth347	1	1
negSynth347	0	0
posSynth348	1	1
negSynth348	0	0
posSynth349	1	1
negSynth349	0	0
posSynth350	1	1
negSynth350	0	0
posSynth351	1	1
negSynth351	0	0
posSynth352	1	1
negSynth352	0	0
posSynth353	1	1
negSynth353	0	0
posSynth354	1	1
negSynth354	0	0
posSynth355	1	1
negSynth355	0	0
posSynth356	1	1
negSynth356	0	0
posSynth357	1	1
negSynth357	0	0
posSynth358	1	1
negSynth358	0	0
posSynth359	1	1
negSynth359	0	0
posSynth360	1	1
negSynth360	0	0
posSynth361	1	1
negSynth361	0	0
posSynth362	1	1
negSynth362	0	0
posSynth363	1	1
negSynth363	0	0
posSynth364	1	1
negSynth364	0	0
posSynth365	1	1
negSynth365	0	0
posSynth366	1	1
negSynth366	0	0
posSynth367	1	1
negSynth367	0	0
posSynth368	1	1
negSynth368	0	0
posSynth369	1	1
negSynth369	0	0
posSynth370	1	1
negSynth370	0	0
posSynth371	1	1
negSynth371	0	0
posSynth372	1	1
negSynth372	0	0
posSynth373	1	1
negSynth373	0	0
posSynth374	1	1
negSynth374	0	0
posSynth375	1	1
negSynth375	0	0
posSynth376	1	1
negSynth376	0	0
posSynth377	1	1
negSynth377	0	0
posSynth378	1	1
negSynth378	0	0
posSynth379	1	1
negSynth379	0	0
posSynth380	1	1
negSynth380	0	0
posSynth381	1	1
negSynth381	0	0
posSynth382	1	1
negSynth382	0	0
posSynth383	1	1
negSynth383	0	0
posSynth384	1	1
negSynth384	0	0
posSynth385	1	1
negSynth385	0	0
posSynth386	1	1
negSynth386	0	0
posSynth387	1	1
negSynth387	0	0
posSynth388	1	1
negSynth388	0	0
posSynth389	1	1
negSynth389	0	0
posSynth390	1	1
negSynth390	0	0
posSynth391	1	1
negSynth391	0	0
posSynth392	1	1
negSynth392	0	0
posSynth393	1	1
negSynth393	0	0
posSynth394	1	1
negSynth394	0	0
posSynth395	1	1
negSynth395	0	0
posSynth396	1	1
negSynth396	0	0
posSynth397	1	1
negSynth397	0	0
posSynth398	1	1
negSynth398	0	0
posSynth399	1	1
negSynth399	0	0
posSynth400	1	1
negSynth400	0	0
posSynth401	1	1
negSynth401	0	0
posSynth402	1	1
negSynth402	0	0
posSynth403	1	1
negSynth403	0	0
posSynth404	1	1
negSynth404	0	0
posSynth405	1	1
negSynth405	0	0
posSynth406	1	1
negSynth406	0	0
posSynth407	1	1
negSynth407	0	0
posSynth408	1	1
negSynth408	0	0
posSynth409	1	1
negSynth409	0	0
posSynth410	1	1
negSynth410	0	0
posSynth411	1	1
negSynth411	0	0
posSynth412	1	1
negSynth412	0	0
posSynth413	1	1
negSynth413	0	0
posSynth414	1	1
negSynth414	0	0
posSynth415	1	1
negSynth415	0	0
posSynth416	1	1
negSynth416	0	0
posSynth417	1	1
negSynth417	0	0
posSynth418	1	1
negSynth418	0	0
posSynth419	1	1
negSynth419	0	0
posSynth420	1	1
negSynth420	0	0
posSynth421	1	1
negSynth421	0	0
posSynth422	1	1
negSynth422	0	0
posSynth423	1	1
negSynth423	0	0
posSynth424	1	1
negSynth424	0	0
posSynth425	1	1
negSynth425	0	0
posSynth426	1	1
negSynth426	0	0
posSynth427	1	1
negSynth427	0	0
posSynth428	1	1
negSynth428	0	0
posSynth429	1	1
negSynth429	0	0
posSynth430	1	1
negSynth430	0	0
posSynth431	1	1
negSynth431	0	0
posSynth432	1	1
negSynth432	0	0
posSynth433	1	1
negSynth433	0	0
posSynth434	1	1
negSynth434	0	0
posSynth435	1	1
negSynth435	0	0
posSynth436	1	1
negSynth436	0	0
posSynth437	1	1
negSynth437	0	0
posSynth438	1	1
negSynth438	0	0
posSynth439	1	1
negSynth439	0	0
posSynth440	1	1
negSynth440	0	0
posSynth441	1	1
negSynth441	0	0
posSynth442	1	1
negSynth442	0	0
posSynth443	1	1
negSynth443	0	0
posSynth444	1	1
negSynth444	0	0
posSynth445	1	1
negSynth445	0	0
posSynth446	1	1
negSynth446	0	0
posSynth447	1	1
negSynth447	0	0
posSynth448	1	1
negSynth448	0	0
posSynth449	1	1
negSynth449	0	0
posSynth450	1	1
negSynth450	0	0
posSynth451	1	1
negSynth451	0	0
posSynth452	1	1
negSynth452	0	0
posSynth453	1	1
negSynth453	0	0
posSynth454	1	1
negSynth454	0	0
posSynth455	1	1
negSynth455	0	0
posSynth456	1	1
negSynth456	0	0
posSynth457	1	1
negSynth457	0	0
posSynth458	1	1
negSynth458	0	0
posSynth459	1	1
negSynth459	0	0
posSynth460	1	1
negSynth460	0	0
posSynth461	1	1
negSynth461	0	0
posSynth462	1	1
negSynth462	0	0
posSynth463	1	1
negSynth463	0	0
posSynth464	1	1
negSynth464	0	0
posSynth465	1	1
negSynth465	0	0
posSynth466	1	1
negSynth466	0	0
posSynth467	1	1
negSynth467	0	0
posSynth468	1	1
negSynth468	0	0
posSynth469	1	1
negSynth469	0	0
posSynth470	1	1
negSynth470	0	0
posSynth471	1	1
negSynth471	0	0
posSynth472	1	1
negSynth472	0	0
posSynth473	1	1
negSynth473	0	0
posSynth474	1	1
negSynth474	0	0
posSynth475	1	1
negSynth475	0	0
posSynth476	1	1
negSynth476	0	0
posSynth477	1	1
negSynth477	0	0
posSynth478	1	1
negSynth478	0	0
posSynth479	1	1
negSynth479	0	0
posSynth480	1	1
negSynth480	0	0
posSynth481	1	1
negSynth481	0	0
posSynth482	1	1
negSynth482	0	0
posSynth483	1	1
negSynth483	0	0
posSynth484	1	1
negSynth484	0	0
posSynth485	1	1
negSynth485	0	0
posSynth486	1	1
negSynth486	0	0
posSynth487	1	1
negSynth487	0	0
posSynth488	1	1
negSynth488	0	0
posSynth489	1	1
negSynth489	0	0
posSynth490	1	1
negSynth490	0	0
posSynth491	1	1
negSynth491	0	0
posSynth492	1	1
negSynth492	0	0
posSynth493	1	1
negSynth493	0	0
posSynth494	1	1
negSynth494	0	0
posSynth495	1	1
negSynth495	0	0
posSynth496	1	1
negSynth496	0	0
posSynth497	1	1
negSynth497	0	0
posSynth498	1	1
negSynth498	0	0
posSynth499	1	1
negSynth499	0	0
posSynth500	1	1
negSynth500	0	0
posSynth501	1	1
negSynth501	0	0
posSynth502	1	1
negSynth502	0	0
posSynth503	1	1
negSynth503	0	0
posSynth504	1	1
negSynth504	0	0
posSynth505	1	1
negSynth505	0	0
posSynth506	1	1
negSynth506	0	0
posSynth507	1	1
negSynth507	0	0
posSynth508	1	1
negSynth508	0	0
posSynth509	1	1
negSynth509	0	0
posSynth510	1	1
negSynth510	0	0
posSynth511	1	1
negSynth511	0	0
posSynth512	1	1
negSynth512	0	0
posSynth513	1	1
negSynth513	0	0
posSynth514	1	1
negSynth514	0	0
posSynth515	1	1
negSynth515	0	0
posSynth516	1	1
negSynth516	0	0
posSynth517	1	1
negSynth517	0	0
posSynth518	1	1
negSynth518	0	0
posSynth519	1	1
negSynth519	0	0
posSynth520	1	1
negSynth520	0	0
posSynth521	1	1
negSynth521	0	0
posSynth522	1	1
negSynth522	0	0
posSynth523	1	1
negSynth523	0	0
posSynth524	1	1
negSynth524	0	0
posSynth525	1	1
negSynth525	0	0
posSynth526	1	1
negSynth526	0	0
posSynth527	1	1
negSynth527	0	0
posSynth528	1	1
negSynth528	0	0
posSynth529	1	1
negSynth529	0	0
posSynth530	1	1
negSynth530	0	0
posSynth531	1	1
negSynth531	0	0
posSynth532	1	1
negSynth532	0	0
posSynth533	1	1
negSynth533	0	0
posSynth534	1	1
negSynth534	0	0
posSynth535	1	1
negSynth535	0	0
posSynth536	1	1
negSynth536	0	0
posSynth537	1	1
negSynth537	0	0
posSynth538	1	1
negSynth538	0	0
posSynth539	1	1
negSynth539	0	0
posSynth540	1	1
negSynth540	0	0
posSynth541	1	1
negSynth541	0	0
posSynth542	1	1
negSynth542	0	0
posSynth543	1	1
negSynth543	0	0
posSynth544	1	1
negSynth544	0	0
posSynth545	1	1
negSynth545	0	0
posSynth546	1	1
negSynth546	0	0
posSynth547	1	1
negSynth547	0	0
posSynth548	1	1
negSynth548	0	0
posSynth549	1	1
negSynth549	0	0
posSynth550	1	1
negSynth550	0	0
posSynth551	1	1
negSynth551	0	0
posSynth552	1	1
negSynth552	0	0
posSynth553	1	1
negSynth553	0	0
posSynth554	1	1
negSynth554	0	0
posSynth555	1	1
negSynth555	0	0
posSynth556	1	1
negSynth556	0	0
posSynth557	1	1
negSynth557	0	0
posSynth558	1	1
negSynth558	0	0
posSynth559	1	1
negSynth559	0	0
posSynth560	1	1
negSynth560	0	0
posSynth561	1	1
negSynth561	0	0
posSynth562	1	1
negSynth562	0	0
posSynth563	1	1
negSynth563	0	0
posSynth564	1	1
negSynth564	0	0
posSynth565	1	1
negSynth565	0	0
posSynth566	1	1
negSynth566	0	0
posSynth567	1	1
negSynth567	0	0
posSynth568	1	1
negSynth568	0	0
posSynth569	1	1
negSynth569	0	0
posSynth570	1	1
negSynth570	0	0
posSynth571	1	1
negSynth571	0	0
posSynth572	1	1
negSynth572	0	0
posSynth573	1	1
negSynth573	0	0
posSynth574	1	1
negSynth574	0	0
posSynth575	1	1
negSynth575	0	0
posSynth576	1	1
negSynth576	0	0
posSynth577	1	1
negSynth577	0	0
posSynth578	1	1
negSynth578	0	0
posSynth579	1	1
negSynth579	0	0
posSynth580	1	1
negSynth580	0	0
posSynth581	1	1
negSynth581	0	0
posSynth582	1	1
negSynth582	0	0
posSynth583	1	1
negSynth583	0	0
posSynth584	1	1
negSynth584	0	0
posSynth585	1	1
negSynth585	0	0
posSynth586	1	1
negSynth586	0	0
posSynth587	1	1
negSynth587	0	0
posSynth588	1	1
negSynth588	0	0
posSynth589	1	1
negSynth589	0	0
posSynth590	1	1
negSynth590	0	0
posSynth591	1	1
negSynth591	0	0
posSynth592	1	1
negSynth592	0	0
posSynth593	1	1
negSynth593	0	0
posSynth594	1	1
negSynth594	0	0
posSynth595	1	1
negSynth595	0	0
posSynth596	1	1
negSynth596	0	0
posSynth597	1	1
negSynth597	0	0
posSynth598	1	1
negSynth598	0	0
posSynth599	1	1
negSynth599	0	0
posSynth600	1	1
negSynth600	0	0
posSynth601	1	1
negSynth601	0	0
posSynth602	1	1
negSynth602	0	0
posSynth603	1	1
negSynth603	0	0
posSynth604	1	1
negSynth604	0	0
posSynth605	1	1
negSynth605	0	0
posSynth606	1	1
negSynth606	0	0
posSynth607	1	1
negSynth607	0	0
posSynth608	1	1
negSynth608	0	0
posSynth609	1	1
negSynth609	0	0
posSynth610	1	1
negSynth610	0	0
posSynth611	1	1
negSynth611	0	0
posSynth612	1	1
negSynth612	0	0
posSynth613	1	1
negSynth613	0	0
posSynth614	1	1
negSynth614	0	0
posSynth615	1	1
negSynth615	0	0
posSynth616	1	1
negSynth616	0	0
posSynth617	1	1
negSynth617	0	0
posSynth618	1	1
negSynth618	0	0
posSynth619	1	1
negSynth619	0	0
posSynth620	1	1
negSynth620	0	0
posSynth621	1	1
negSynth621	0	0
posSynth622	1	1
negSynth622	0	0
posSynth623	1	1
negSynth623	0	0
posSynth624	1	1
negSynth624	0	0
posSynth625	1	1
negSynth625	0	0
posSynth626	1	1
negSynth626	0	0
posSynth627	1	1
negSynth627	0	0
posSynth628	1	1
negSynth628	0	0
posSynth629	1	1
negSynth629	0	0
posSynth630	1	1
negSynth630	0	0
posSynth631	1	1
negSynth631	0	0
posSynth632	1	1
negSynth632	0	0
posSynth633	1	1
negSynth633	0	0
posSynth634	1	1
negSynth634	0	0
posSynth635	1	1
negSynth635	0	0
posSynth636	1	1
negSynth636	0	0
posSynth637	1	1
negSynth637	0	0
posSynth638	1	1
negSynth638	0	0
posSynth639	1	1
negSynth639	0	0
posSynth640	1	1
negSynth640	0	0
posSynth641	1	1
negSynth641	0	0
posSynth642	1	1
negSynth642	0	0
posSynth643	1	1
negSynth643	0	0
posSynth644	1	1
negSynth644	0	0
posSynth645	1	1
negSynth645	0	0
posSynth646	1	1
negSynth646	0	0
posSynth647	1	1
negSynth647	0	0
posSynth648	1	1
negSynth648	0	0
posSynth649	1	1
negSynth649	0	0
posSynth650	1	1
negSynth650	0	0
posSynth651	1	1
negSynth651	0	0
posSynth652	1	1
negSynth652	0	0
posSynth653	1	1
negSynth653	0	0
posSynth654	1	1
negSynth654	0	0
posSynth655	1	1
negSynth655	0	0
posSynth656	1	1
negSynth656	0	0
posSynth657	1	1
negSynth657	0	0
posSynth658	1	1
negSynth658	0	0
posSynth659	1	1
negSynth659	0	0
posSynth660	1	1
negSynth660	0	0
posSynth661	1	1
negSynth661	0	0
posSynth662	1	1
negSynth662	0	0
posSynth663	1	1
negSynth663	0	0
posSynth664	1	1
negSynth664	0	0
posSynth665	1	1
negSynth665	0	0
posSynth666	1	1
negSynth666	0	0
posSynth667	1	1
negSynth667	0	0
posSynth668	1	1
negSynth668	0	0
posSynth669	1	1
negSynth669	0	0
posSynth670	1	1
negSynth670	0	0
posSynth671	1	1
negSynth671	0	0
posSynth672	1	1
negSynth672	0	0
posSynth673	1	1
negSynth673	0	0
posSynth674	1	1
negSynth674	0	0
posSynth675	1	1
negSynth675	0	0
posSynth676	1	1
negSynth676	0	0
posSynth677	1	1
negSynth677	0	0
posSynth678	1	1
negSynth678	0	0
posSynth679	1	1
negSynth679	0	0
posSynth680	1	1
negSynth680	0	0
posSynth681	1	1
negSynth681	0	0
posSynth682	1	1
negSynth682	0	0
posSynth683	1	1
negSynth683	0	0
posSynth684	1	1
negSynth684	0	0
posSynth685	1	1
negSynth685	0	0
posSynth686	1	1
negSynth686	0	0
posSynth687	1	1
negSynth687	0	0
posSynth688	1	1
negSynth688	0	0
posSynth689	1	1
negSynth689	0	0
posSynth690	1	1
negSynth690	0	0
posSynth691	1	1
negSynth691	0	0
posSynth692	1	1
negSynth692	0	0
posSynth693	1	1
negSynth693	0	0
posSynth694	1	1
negSynth694	0	0
posSynth695	1	1
negSynth695	0	0
posSynth696	1	1
negSynth696	0	0
posSynth697	1	1
negSynth697	0	0
posSynth698	1	1
negSynth698	0	0
posSynth699	1	1
negSynth699	0	0
