name	task1	task2	task3
cls1_96	1	0	0
cls1_97	1	0	0
cls1_98	1	0	0
cls1_99	1	0	0
cls1_100	1	0	0
cls1_101	1	0	0
cls1_102	1	0	0
cls1_103	1	0	0
cls1_104	1	0	0
cls1_105	1	0	0
cls1_106	1	0	0
cls1_107	1	0	0
cls1_108	1	0	0
cls1_109	1	0	0
cls1_110	1	0	0
cls1_111	1	0	0
cls1_112	1	0	0
cls1_113	1	0	0
cls1_114	1	0	0
cls1_115	1	0	0
cls1_116	1	0	0
cls1_117	1	0	0
cls1_118	1	0	0
cls1_119	1	0	0
cls1_120	1	0	0
cls1_121	1	0	0
cls1_122	1	0	0
cls1_123	1	0	0
cls1_124	1	0	0
cls1_125	1	0	0
cls1_126	1	0	0
cls1_127	1	0	0
cls1_128	1	0	0
cls1_129	1	0	0
cls1_130	1	0	0
cls1_131	1	0	0
cls1_132	1	0	0
cls1_133	1	0	0
cls1_134	1	0	0
cls1_135	1	0	0
cls1_136	1	0	0
cls1_137	1	0	0
cls1_138	1	0	0
cls1_139	1	0	0
cls1_140	1	0	0
cls1_141	1	0	0
cls1_142	1	0	0
cls1_143	1	0	0
cls1_144	1	0	0
cls1_145	1	0	0
cls1_146	1	0	0
cls1_147	1	0	0
cls1_148	1	0	0
cls1_149	1	0	0
cls1_150	1	0	0
cls1_151	1	0	0
cls1_152	1	0	0
cls1_153	1	0	0
cls1_154	1	0	0
cls1_155	1	0	0
cls1_156	1	0	0
cls1_157	1	0	0
cls1_158	1	0	0
cls1_159	1	0	0
cls1_160	1	0	0
cls1_161	1	0	0
cls1_162	1	0	0
cls1_163	1	0	0
cls1_164	1	0	0
cls1_165	1	0	0
cls1_166	1	0	0
cls1_167	1	0	0
cls1_168	1	0	0
cls1_169	1	0	0
cls1_170	1	0	0
cls1_171	1	0	0
cls1_172	1	0	0
cls1_173	1	0	0
cls1_174	1	0	0
cls1_175	1	0	0
cls1_176	1	0	0
cls1_177	1	0	0
cls1_178	1	0	0
cls1_179	1	0	0
cls1_180	1	0	0
cls1_181	1	0	0
cls1_182	1	0	0
cls1_183	1	0	0
cls1_184	1	0	0
cls1_185	1	0	0
cls1_186	1	0	0
cls1_187	1	0	0
cls1_188	1	0	0
cls1_189	1	0	0
cls1_190	1	0	0
cls1_191	1	0	0
cls1_192	1	0	0
cls1_193	1	0	0
cls1_194	1	0	0
cls1_195	1	0	0
cls1_196	1	0	0
cls1_197	1	0	0
cls1_198	1	0	0
cls1_199	1	0	0
cls1_200	1	0	0
cls1_201	1	0	0
cls1_202	1	0	0
cls1_203	1	0	0
cls1_204	1	0	0
cls1_205	1	0	0
cls1_206	1	0	0
cls1_207	1	0	0
cls1_208	1	0	0
cls1_209	1	0	0
cls1_210	1	0	0
cls1_211	1	0	0
cls1_212	1	0	0
cls1_213	1	0	0
cls1_214	1	0	0
cls1_215	1	0	0
cls1_216	1	0	0
cls1_217	1	0	0
cls1_218	1	0	0
cls1_219	1	0	0
cls1_220	1	0	0
cls1_221	1	0	0
cls1_222	1	0	0
cls1_223	1	0	0
cls1_224	1	0	0
cls1_225	1	0	0
cls1_226	1	0	0
cls1_227	1	0	0
cls1_228	1	0	0
cls1_229	1	0	0
cls1_230	1	0	0
cls1_231	1	0	0
cls1_232	1	0	0
cls1_233	1	0	0
cls1_234	1	0	0
cls1_235	1	0	0
cls1_236	1	0	0
cls1_237	1	0	0
cls1_238	1	0	0
cls1_239	1	0	0
cls1_240	1	0	0
cls1_241	1	0	0
cls1_242	1	0	0
cls1_243	1	0	0
cls1_244	1	0	0
cls1_245	1	0	0
cls1_246	1	0	0
cls1_247	1	0	0
cls1_248	1	0	0
cls1_249	1	0	0
cls1_250	1	0	0
cls1_251	1	0	0
cls1_252	1	0	0
cls1_253	1	0	0
cls1_254	1	0	0
cls1_255	1	0	0
cls1_256	1	0	0
cls1_257	1	0	0
cls1_258	1	0	0
cls1_259	1	0	0
cls1_260	1	0	0
cls1_261	1	0	0
cls1_262	1	0	0
cls1_263	1	0	0
cls1_264	1	0	0
cls1_265	1	0	0
cls1_266	1	0	0
cls1_267	1	0	0
cls1_268	1	0	0
cls1_269	1	0	0
cls1_270	1	0	0
cls1_271	1	0	0
cls1_272	1	0	0
cls1_273	1	0	0
cls1_274	1	0	0
cls1_275	1	0	0
cls1_276	1	0	0
cls1_277	1	0	0
cls1_278	1	0	0
cls1_279	1	0	0
cls1_280	1	0	0
cls1_281	1	0	0
cls1_282	1	0	0
cls1_283	1	0	0
cls1_284	1	0	0
cls1_285	1	0	0
cls1_286	1	0	0
cls1_287	1	0	0
cls1_288	1	0	0
cls1_289	1	0	0
cls1_290	1	0	0
cls1_291	1	0	0
cls1_292	1	0	0
cls1_293	1	0	0
cls1_294	1	0	0
cls1_295	1	0	0
cls1_296	1	0	0
cls1_297	1	0	0
cls1_298	1	0	0
cls1_299	1	0	0
cls1_300	1	0	0
cls1_301	1	0	0
cls1_302	1	0	0
cls1_303	1	0	0
cls1_304	1	0	0
cls1_305	1	0	0
cls1_306	1	0	0
cls1_307	1	0	0
cls1_308	1	0	0
cls1_309	1	0	0
cls1_310	1	0	0
cls1_311	1	0	0
cls1_312	1	0	0
cls1_313	1	0	0
cls1_314	1	0	0
cls1_315	1	0	0
cls1_316	1	0	0
cls1_317	1	0	0
cls1_318	1	0	0
cls1_319	1	0	0
cls1_320	1	0	0
cls1_321	1	0	0
cls1_322	1	0	0
cls1_323	1	0	0
cls1_324	1	0	0
cls1_325	1	0	0
cls1_326	1	0	0
cls1_327	1	0	0
cls1_328	1	0	0
cls1_329	1	0	0
cls1_330	1	0	0
cls1_331	1	0	0
cls1_332	1	0	0
cls1_333	1	0	0
cls1_334	1	0	0
cls1_335	1	0	0
cls1_336	1	0	0
cls1_337	1	0	0
cls1_338	1	0	0
cls1_339	1	0	0
cls1_340	1	0	0
cls1_341	1	0	0
cls1_342	1	0	0
cls1_343	1	0	0
cls1_344	1	0	0
cls1_345	1	0	0
cls1_346	1	0	0
cls1_347	1	0	0
cls1_348	1	0	0
cls1_349	1	0	0
cls1_350	1	0	0
cls1_351	1	0	0
cls1_352	1	0	0
cls1_353	1	0	0
cls1_354	1	0	0
cls1_355	1	0	0
cls1_356	1	0	0
cls1_357	1	0	0
cls1_358	1	0	0
cls1_359	1	0	0
cls1_360	1	0	0
cls1_361	1	0	0
cls1_362	1	0	0
cls1_363	1	0	0
cls1_364	1	0	0
cls1_365	1	0	0
cls1_366	1	0	0
cls1_367	1	0	0
cls1_368	1	0	0
cls1_369	1	0	0
cls1_370	1	0	0
cls1_371	1	0	0
cls1_372	1	0	0
cls1_373	1	0	0
cls1_374	1	0	0
cls1_375	1	0	0
cls1_376	1	0	0
cls1_377	1	0	0
cls1_378	1	0	0
cls1_379	1	0	0
cls1_380	1	0	0
cls1_381	1	0	0
cls1_382	1	0	0
cls1_383	1	0	0
cls1_384	1	0	0
cls1_385	1	0	0
cls1_386	1	0	0
cls1_387	1	0	0
cls1_388	1	0	0
cls1_389	1	0	0
cls1_390	1	0	0
cls1_391	1	0	0
cls1_392	1	0	0
cls1_393	1	0	0
cls1_394	1	0	0
cls1_395	1	0	0
cls1_396	1	0	0
cls1_397	1	0	0
cls1_398	1	0	0
cls1_399	1	0	0
cls1_400	1	0	0
cls1_401	1	0	0
cls1_402	1	0	0
cls1_403	1	0	0
cls1_404	1	0	0
cls1_405	1	0	0
cls1_406	1	0	0
cls1_407	1	0	0
cls1_408	1	0	0
cls1_409	1	0	0
cls1_410	1	0	0
cls1_411	1	0	0
cls1_412	1	0	0
cls1_413	1	0	0
cls1_414	1	0	0
cls1_415	1	0	0
cls1_416	1	0	0
cls1_417	1	0	0
cls1_418	1	0	0
cls1_419	1	0	0
cls1_420	1	0	0
cls1_421	1	0	0
cls1_422	1	0	0
cls1_423	1	0	0
cls1_424	1	0	0
cls1_425	1	0	0
cls1_426	1	0	0
cls1_427	1	0	0
cls1_428	1	0	0
cls1_429	1	0	0
cls1_430	1	0	0
cls1_431	1	0	0
cls1_432	1	0	0
cls1_433	1	0	0
cls1_434	1	0	0
cls1_435	1	0	0
cls1_436	1	0	0
cls1_437	1	0	0
cls1_438	1	0	0
cls1_439	1	0	0
cls1_440	1	0	0
cls1_441	1	0	0
cls1_442	1	0	0
cls1_443	1	0	0
cls1_444	1	0	0
cls1_445	1	0	0
cls1_446	1	0	0
cls1_447	1	0	0
cls1_448	1	0	0
cls1_449	1	0	0
cls1_450	1	0	0
cls1_451	1	0	0
cls1_452	1	0	0
cls1_453	1	0	0
cls1_454	1	0	0
cls1_455	1	0	0
cls1_456	1	0	0
cls1_457	1	0	0
cls1_458	1	0	0
cls1_459	1	0	0
cls1_460	1	0	0
cls1_461	1	0	0
cls1_462	1	0	0
cls1_463	1	0	0
cls1_464	1	0	0
cls1_465	1	0	0
cls1_466	1	0	0
cls1_467	1	0	0
cls1_468	1	0	0
cls1_469	1	0	0
cls1_470	1	0	0
cls1_471	1	0	0
cls1_472	1	0	0
cls1_473	1	0	0
cls1_474	1	0	0
cls1_475	1	0	0
cls1_476	1	0	0
cls1_477	1	0	0
cls1_478	1	0	0
cls1_479	1	0	0
cls1_480	1	0	0
cls1_481	1	0	0
cls1_482	1	0	0
cls1_483	1	0	0
cls1_484	1	0	0
cls1_485	1	0	0
cls1_486	1	0	0
cls1_487	1	0	0
cls1_488	1	0	0
cls1_489	1	0	0
cls1_490	1	0	0
cls1_491	1	0	0
cls1_492	1	0	0
cls1_493	1	0	0
cls1_494	1	0	0
cls1_495	1	0	0
cls1_496	1	0	0
cls1_497	1	0	0
cls1_498	1	0	0
cls1_499	1	0	0
cls1_500	1	0	0
cls1_501	1	0	0
cls1_502	1	0	0
cls1_503	1	0	0
cls1_504	1	0	0
cls1_505	1	0	0
cls1_506	1	0	0
cls1_507	1	0	0
cls1_508	1	0	0
cls1_509	1	0	0
cls1_510	1	0	0
cls1_511	1	0	0
cls1_512	1	0	0
cls1_513	1	0	0
cls1_514	1	0	0
cls1_515	1	0	0
cls1_516	1	0	0
cls1_517	1	0	0
cls1_518	1	0	0
cls1_519	1	0	0
cls1_520	1	0	0
cls1_521	1	0	0
cls1_522	1	0	0
cls1_523	1	0	0
cls1_524	1	0	0
cls1_525	1	0	0
cls1_526	1	0	0
cls1_527	1	0	0
cls1_528	1	0	0
cls1_529	1	0	0
cls1_530	1	0	0
cls1_531	1	0	0
cls1_532	1	0	0
cls1_533	1	0	0
cls1_534	1	0	0
cls1_535	1	0	0
cls1_536	1	0	0
cls1_537	1	0	0
cls1_538	1	0	0
cls1_539	1	0	0
cls1_540	1	0	0
cls1_541	1	0	0
cls1_542	1	0	0
cls1_543	1	0	0
cls1_544	1	0	0
cls1_545	1	0	0
cls1_546	1	0	0
cls1_547	1	0	0
cls1_548	1	0	0
cls1_549	1	0	0
cls1_550	1	0	0
cls1_551	1	0	0
cls1_552	1	0	0
cls1_553	1	0	0
cls1_554	1	0	0
cls1_555	1	0	0
cls1_556	1	0	0
cls1_557	1	0	0
cls1_558	1	0	0
cls1_559	1	0	0
cls1_560	1	0	0
cls1_561	1	0	0
cls1_562	1	0	0
cls1_563	1	0	0
cls1_564	1	0	0
cls1_565	1	0	0
cls1_566	1	0	0
cls1_567	1	0	0
cls1_568	1	0	0
cls1_569	1	0	0
cls1_570	1	0	0
cls1_571	1	0	0
cls1_572	1	0	0
cls1_573	1	0	0
cls1_574	1	0	0
cls1_575	1	0	0
cls1_576	1	0	0
cls1_577	1	0	0
cls1_578	1	0	0
cls1_579	1	0	0
cls1_580	1	0	0
cls1_581	1	0	0
cls1_582	1	0	0
cls1_583	1	0	0
cls1_584	1	0	0
cls1_585	1	0	0
cls1_586	1	0	0
cls1_587	1	0	0
cls1_588	1	0	0
cls1_589	1	0	0
cls1_590	1	0	0
cls1_591	1	0	0
cls1_592	1	0	0
cls1_593	1	0	0
cls1_594	1	0	0
cls1_595	1	0	0
cls1_596	1	0	0
cls1_597	1	0	0
cls1_598	1	0	0
cls1_599	1	0	0
cls1_600	1	0	0
cls1_601	1	0	0
cls1_602	1	0	0
cls1_603	1	0	0
cls1_604	1	0	0
cls1_605	1	0	0
cls1_606	1	0	0
cls1_607	1	0	0
cls1_608	1	0	0
cls1_609	1	0	0
cls1_610	1	0	0
cls1_611	1	0	0
cls1_612	1	0	0
cls1_613	1	0	0
cls1_614	1	0	0
cls1_615	1	0	0
cls1_616	1	0	0
cls1_617	1	0	0
cls1_618	1	0	0
cls1_619	1	0	0
cls1_620	1	0	0
cls1_621	1	0	0
cls1_622	1	0	0
cls1_623	1	0	0
cls1_624	1	0	0
cls1_625	1	0	0
cls1_626	1	0	0
cls1_627	1	0	0
cls1_628	1	0	0
cls1_629	1	0	0
cls1_630	1	0	0
cls1_631	1	0	0
cls1_632	1	0	0
cls1_633	1	0	0
cls1_634	1	0	0
cls1_635	1	0	0
cls1_636	1	0	0
cls1_637	1	0	0
cls1_638	1	0	0
cls1_639	1	0	0
cls1_640	1	0	0
cls1_641	1	0	0
cls1_642	1	0	0
cls1_643	1	0	0
cls1_644	1	0	0
cls1_645	1	0	0
cls1_646	1	0	0
cls1_647	1	0	0
cls1_648	1	0	0
cls1_649	1	0	0
cls1_650	1	0	0
cls1_651	1	0	0
cls1_652	1	0	0
cls1_653	1	0	0
cls1_654	1	0	0
cls1_655	1	0	0
cls1_656	1	0	0
cls1_657	1	0	0
cls1_658	1	0	0
cls1_659	1	0	0
cls1_660	1	0	0
cls1_661	1	0	0
cls1_662	1	0	0
cls1_663	1	0	0
cls1_664	1	0	0
cls1_665	1	0	0
cls1_666	1	0	0
cls1_667	1	0	0
cls1_668	1	0	0
cls1_669	1	0	0
cls1_670	1	0	0
cls1_671	1	0	0
cls1_672	1	0	0
cls1_673	1	0	0
cls1_674	1	0	0
cls1_675	1	0	0
cls1_676	1	0	0
cls1_677	1	0	0
cls1_678	1	0	0
cls1_679	1	0	0
cls1_680	1	0	0
cls1_681	1	0	0
cls1_682	1	0	0
cls1_683	1	0	0
cls1_684	1	0	0
cls1_685	1	0	0
cls1_686	1	0	0
cls1_687	1	0	0
cls1_688	1	0	0
cls1_689	1	0	0
cls1_690	1	0	0
cls1_691	1	0	0
cls1_692	1	0	0
cls1_693	1	0	0
cls1_694	1	0	0
cls1_695	1	0	0
cls1_696	1	0	0
cls1_697	1	0	0
cls1_698	1	0	0
cls1_699	1	0	0
cls1_700	1	0	0
cls1_701	1	0	0
cls1_702	1	0	0
cls1_703	1	0	0
cls1_704	1	0	0
cls1_705	1	0	0
cls1_706	1	0	0
cls1_707	1	0	0
cls1_708	1	0	0
cls1_709	1	0	0
cls1_710	1	0	0
cls1_711	1	0	0
cls1_712	1	0	0
cls1_713	1	0	0
cls1_714	1	0	0
cls1_715	1	0	0
cls1_716	1	0	0
cls1_717	1	0	0
cls1_718	1	0	0
cls1_719	1	0	0
cls1_720	1	0	0
cls1_721	1	0	0
cls1_722	1	0	0
cls1_723	1	0	0
cls1_724	1	0	0
cls1_725	1	0	0
cls1_726	1	0	0
cls1_727	1	0	0
cls1_728	1	0	0
cls1_729	1	0	0
cls1_730	1	0	0
cls1_731	1	0	0
cls1_732	1	0	0
cls1_733	1	0	0
cls1_734	1	0	0
cls1_735	1	0	0
cls1_736	1	0	0
cls1_737	1	0	0
cls1_738	1	0	0
cls1_739	1	0	0
cls1_740	1	0	0
cls1_741	1	0	0
cls1_742	1	0	0
cls1_743	1	0	0
cls1_744	1	0	0
cls1_745	1	0	0
cls1_746	1	0	0
cls1_747	1	0	0
cls1_748	1	0	0
cls1_749	1	0	0
cls1_750	1	0	0
cls1_751	1	0	0
cls1_752	1	0	0
cls1_753	1	0	0
cls1_754	1	0	0
cls1_755	1	0	0
cls1_756	1	0	0
cls1_757	1	0	0
cls1_758	1	0	0
cls1_759	1	0	0
cls1_760	1	0	0
cls1_761	1	0	0
cls1_762	1	0	0
cls1_763	1	0	0
cls1_764	1	0	0
cls1_765	1	0	0
cls1_766	1	0	0
cls1_767	1	0	0
cls1_768	1	0	0
cls1_769	1	0	0
cls1_770	1	0	0
cls1_771	1	0	0
cls1_772	1	0	0
cls1_773	1	0	0
cls1_774	1	0	0
cls1_775	1	0	0
cls1_776	1	0	0
cls1_777	1	0	0
cls1_778	1	0	0
cls1_779	1	0	0
cls1_780	1	0	0
cls1_781	1	0	0
cls1_782	1	0	0
cls1_783	1	0	0
cls1_784	1	0	0
cls1_785	1	0	0
cls1_786	1	0	0
cls1_787	1	0	0
cls1_788	1	0	0
cls1_789	1	0	0
cls1_790	1	0	0
cls1_791	1	0	0
cls1_792	1	0	0
cls1_793	1	0	0
cls1_794	1	0	0
cls1_795	1	0	0
cls1_796	1	0	0
cls1_797	1	0	0
cls1_798	1	0	0
cls1_799	1	0	0
cls1_800	1	0	0
cls1_801	1	0	0
cls1_802	1	0	0
cls1_803	1	0	0
cls1_804	1	0	0
cls1_805	1	0	0
cls1_806	1	0	0
cls1_807	1	0	0
cls1_808	1	0	0
cls1_809	1	0	0
cls1_810	1	0	0
cls1_811	1	0	0
cls1_812	1	0	0
cls1_813	1	0	0
cls1_814	1	0	0
cls1_815	1	0	0
cls1_816	1	0	0
cls1_817	1	0	0
cls1_818	1	0	0
cls1_819	1	0	0
cls1_820	1	0	0
cls1_821	1	0	0
cls1_822	1	0	0
cls1_823	1	0	0
cls1_824	1	0	0
cls1_825	1	0	0
cls1_826	1	0	0
cls1_827	1	0	0
cls1_828	1	0	0
cls1_829	1	0	0
cls1_830	1	0	0
cls1_831	1	0	0
cls1_832	1	0	0
cls1_833	1	0	0
cls1_834	1	0	0
cls1_835	1	0	0
cls1_836	1	0	0
cls1_837	1	0	0
cls1_838	1	0	0
cls1_839	1	0	0
cls1_840	1	0	0
cls1_841	1	0	0
cls1_842	1	0	0
cls1_843	1	0	0
cls1_844	1	0	0
cls1_845	1	0	0
cls1_846	1	0	0
cls1_847	1	0	0
cls1_848	1	0	0
cls1_849	1	0	0
cls1_850	1	0	0
cls1_851	1	0	0
cls1_852	1	0	0
cls1_853	1	0	0
cls1_854	1	0	0
cls1_855	1	0	0
cls1_856	1	0	0
cls1_857	1	0	0
cls1_858	1	0	0
cls1_859	1	0	0
cls1_860	1	0	0
cls1_861	1	0	0
cls1_862	1	0	0
cls1_863	1	0	0
cls1_864	1	0	0
cls1_865	1	0	0
cls1_866	1	0	0
cls1_867	1	0	0
cls1_868	1	0	0
cls1_869	1	0	0
cls1_870	1	0	0
cls1_871	1	0	0
cls1_872	1	0	0
cls1_873	1	0	0
cls1_874	1	0	0
cls1_875	1	0	0
cls1_876	1	0	0
cls1_877	1	0	0
cls1_878	1	0	0
cls1_879	1	0	0
cls1_880	1	0	0
cls1_881	1	0	0
cls1_882	1	0	0
cls1_883	1	0	0
cls1_884	1	0	0
cls1_885	1	0	0
cls1_886	1	0	0
cls1_887	1	0	0
cls1_888	1	0	0
cls1_889	1	0	0
cls1_890	1	0	0
cls1_891	1	0	0
cls1_892	1	0	0
cls1_893	1	0	0
cls1_894	1	0	0
cls1_895	1	0	0
cls1_896	1	0	0
cls1_897	1	0	0
cls1_898	1	0	0
cls1_899	1	0	0
cls1_900	1	0	0
cls1_901	1	0	0
cls1_902	1	0	0
cls1_903	1	0	0
cls1_904	1	0	0
cls1_905	1	0	0
cls1_906	1	0	0
cls1_907	1	0	0
cls1_908	1	0	0
cls1_909	1	0	0
cls1_910	1	0	0
cls1_911	1	0	0
cls1_912	1	0	0
cls1_913	1	0	0
cls1_914	1	0	0
cls1_915	1	0	0
cls1_916	1	0	0
cls1_917	1	0	0
cls1_918	1	0	0
cls1_919	1	0	0
cls1_920	1	0	0
cls1_921	1	0	0
cls1_922	1	0	0
cls1_923	1	0	0
cls1_924	1	0	0
cls1_925	1	0	0
cls1_926	1	0	0
cls1_927	1	0	0
cls1_928	1	0	0
cls1_929	1	0	0
cls1_930	1	0	0
cls1_931	1	0	0
cls1_932	1	0	0
cls1_933	1	0	0
cls1_934	1	0	0
cls1_935	1	0	0
cls1_936	1	0	0
cls1_937	1	0	0
cls1_938	1	0	0
cls1_939	1	0	0
cls1_940	1	0	0
cls1_941	1	0	0
cls1_942	1	0	0
cls1_943	1	0	0
cls1_944	1	0	0
cls1_945	1	0	0
cls1_946	1	0	0
cls1_947	1	0	0
cls1_948	1	0	0
cls1_949	1	0	0
cls1_950	1	0	0
cls1_951	1	0	0
cls1_952	1	0	0
cls1_953	1	0	0
cls1_954	1	0	0
cls1_955	1	0	0
cls1_956	1	0	0
cls1_957	1	0	0
cls1_958	1	0	0
cls1_959	1	0	0
cls1_960	1	0	0
cls1_961	1	0	0
cls1_962	1	0	0
cls1_963	1	0	0
cls1_964	1	0	0
cls1_965	1	0	0
cls1_966	1	0	0
cls1_967	1	0	0
cls1_968	1	0	0
cls1_969	1	0	0
cls1_970	1	0	0
cls1_971	1	0	0
cls1_972	1	0	0
cls1_973	1	0	0
cls1_974	1	0	0
cls1_975	1	0	0
cls1_976	1	0	0
cls1_977	1	0	0
cls1_978	1	0	0
cls1_979	1	0	0
cls1_980	1	0	0
cls1_981	1	0	0
cls1_982	1	0	0
cls1_983	1	0	0
cls1_984	1	0	0
cls1_985	1	0	0
cls1_986	1	0	0
cls1_987	1	0	0
cls1_988	1	0	0
cls1_989	1	0	0
cls1_990	1	0	0
cls1_991	1	0	0
cls1_992	1	0	0
cls1_993	1	0	0
cls1_994	1	0	0
cls1_995	1	0	0
cls1_996	1	0	0
cls1_997	1	0	0
cls1_998	1	0	0
cls1_999	1	0	0
cls1_1000	1	0	0
cls1_1001	1	0	0
cls1_1002	1	0	0
cls1_1003	1	0	0
cls1_1004	1	0	0
cls1_1005	1	0	0
cls1_1006	1	0	0
cls1_1007	1	0	0
cls1_1008	1	0	0
cls1_1009	1	0	0
cls1_1010	1	0	0
cls1_1011	1	0	0
cls1_1012	1	0	0
cls1_1013	1	0	0
cls1_1014	1	0	0
cls1_1015	1	0	0
cls1_1016	1	0	0
cls1_1017	1	0	0
cls1_1018	1	0	0
cls1_1019	1	0	0
cls1_1020	1	0	0
cls1_1021	1	0	0
cls1_1022	1	0	0
cls1_1023	1	0	0
cls1_1024	1	0	0
cls1_1025	1	0	0
cls1_1026	1	0	0
cls1_1027	1	0	0
cls1_1028	1	0	0
cls1_1029	1	0	0
cls1_1030	1	0	0
cls1_1031	1	0	0
cls1_1032	1	0	0
cls1_1033	1	0	0
cls1_1034	1	0	0
cls1_1035	1	0	0
cls1_1036	1	0	0
cls1_1037	1	0	0
cls1_1038	1	0	0
cls1_1039	1	0	0
cls1_1040	1	0	0
cls1_1041	1	0	0
cls1_1042	1	0	0
cls1_1043	1	0	0
cls1_1044	1	0	0
cls1_1045	1	0	0
cls1_1046	1	0	0
cls1_1047	1	0	0
cls1_1048	1	0	0
cls1_1049	1	0	0
cls1_1050	1	0	0
cls1_1051	1	0	0
cls1_1052	1	0	0
cls1_1053	1	0	0
cls1_1054	1	0	0
cls1_1055	1	0	0
cls1_1056	1	0	0
cls1_1057	1	0	0
cls1_1058	1	0	0
cls1_1059	1	0	0
cls1_1060	1	0	0
cls1_1061	1	0	0
cls1_1062	1	0	0
cls1_1063	1	0	0
cls1_1064	1	0	0
cls1_1065	1	0	0
cls1_1066	1	0	0
cls1_1067	1	0	0
cls1_1068	1	0	0
cls1_1069	1	0	0
cls1_1070	1	0	0
cls1_1071	1	0	0
cls1_1072	1	0	0
cls1_1073	1	0	0
cls1_1074	1	0	0
cls1_1075	1	0	0
cls1_1076	1	0	0
cls1_1077	1	0	0
cls1_1078	1	0	0
cls1_1079	1	0	0
cls1_1080	1	0	0
cls1_1081	1	0	0
cls1_1082	1	0	0
cls1_1083	1	0	0
cls1_1084	1	0	0
cls1_1085	1	0	0
cls1_1086	1	0	0
cls1_1087	1	0	0
cls1_1088	1	0	0
cls1_1089	1	0	0
cls1_1090	1	0	0
cls1_1091	1	0	0
cls1_1092	1	0	0
cls1_1093	1	0	0
cls1_1094	1	0	0
cls1_1095	1	0	0
cls1_1096	1	0	0
cls1_1097	1	0	0
cls1_1098	1	0	0
cls1_1099	1	0	0
cls1_1100	1	0	0
cls1_1101	1	0	0
cls1_1102	1	0	0
cls1_1103	1	0	0
cls1_1104	1	0	0
cls1_1105	1	0	0
cls1_1106	1	0	0
cls1_1107	1	0	0
cls1_1108	1	0	0
cls1_1109	1	0	0
cls1_1110	1	0	0
cls1_1111	1	0	0
cls1_1112	1	0	0
cls1_1113	1	0	0
cls1_1114	1	0	0
cls1_1115	1	0	0
cls1_1116	1	0	0
cls1_1117	1	0	0
cls1_1118	1	0	0
cls1_1119	1	0	0
cls1_1120	1	0	0
cls1_1121	1	0	0
cls1_1122	1	0	0
cls1_1123	1	0	0
cls1_1124	1	0	0
cls1_1125	1	0	0
cls1_1126	1	0	0
cls1_1127	1	0	0
cls1_1128	1	0	0
cls1_1129	1	0	0
cls1_1130	1	0	0
cls1_1131	1	0	0
cls1_1132	1	0	0
cls1_1133	1	0	0
cls1_1134	1	0	0
cls1_1135	1	0	0
cls1_1136	1	0	0
cls1_1137	1	0	0
cls1_1138	1	0	0
cls1_1139	1	0	0
cls1_1140	1	0	0
cls1_1141	1	0	0
cls1_1142	1	0	0
cls1_1143	1	0	0
cls1_1144	1	0	0
cls1_1145	1	0	0
cls1_1146	1	0	0
cls1_1147	1	0	0
cls1_1148	1	0	0
cls1_1149	1	0	0
cls1_1150	1	0	0
cls1_1151	1	0	0
cls1_1152	1	0	0
